0001 1011 1111 1101 00 11 00 0000
1101 0101 1001 0110 11 10 11 0000
1001 0010 1010 1101 10 11 01 0000
1000 0100 0100 0000 00 01 10 0000
0110 0100 0110 0111 10 10 10 0110
1000 1010 1000 1011 10 11 00 0000
0110 0001 0100 0111 11 10 10 0011
0011 1011 1011 0010 00 01 00 0000
1011 1001 0000 0100 00 01 11 1001
0011 1001 1011 0010 00 01 11 0001
0110 0110 1001 0010 11 10 11 0000
1001 0111 0001 0011 11 01 11 0000
0011 0111 0100 0001 00 01 11 0011
0110 1000 0111 0110 10 10 10 1110
0101 1011 1111 0010 00 11 10 0001
1100 0110 0011 1000 00 00 10 0100
1001 1101 0110 1011 10 10 10 1101
1110 1011 0011 1100 10 11 11 1111
1110 0000 1001 0110 01 10 11 1110
0001 1001 0000 1101 11 00 11 0000
0110 1010 0100 1001 00 10 10 0010
1011 0110 0011 1011 00 11 10 0010
1100 0010 0110 1000 00 11 10 0000
0100 0010 0110 0000 11 00 11 0001
0001 0111 1000 1100 10 10 01 1100
0111 1011 1001 1100 10 10 11 1111
0010 0111 1011 0011 11 01 11 0000
0110 0011 1100 1101 10 00 01 1100
0101 1110 0001 0100 00 01 01 0000
0011 0100 0101 1101 01 11 00 0000
0100 1101 1110 0001 10 01 10 1101
0010 0001 0010 1100 01 11 01 0000
1000 0000 1011 1100 10 11 10 1000
0111 0011 1000 1101 00 10 00 0000
1100 0101 0011 0011 10 01 10 1101
1101 0100 1010 1110 00 11 10 0100
0100 0011 0110 0111 01 00 10 0000
1100 0100 0101 1110 00 10 11 0100
1110 0011 1000 1011 01 11 01 0000
1110 0011 0010 0100 01 00 01 0000
1010 0001 0011 1010 10 10 10 1011
1011 0000 0110 1011 11 10 01 1111
1010 0111 0101 0111 10 11 10 1111
0101 1111 1100 0000 10 11 11 1111
1010 1100 0011 1010 10 10 10 1110
0100 0001 0011 1011 01 00 01 0011
0100 1010 1100 0000 00 10 10 0000
0010 0101 0111 1100 10 10 01 1111
0001 1011 1010 1111 11 11 11 0000
1101 0000 0011 0001 01 01 10 1101
1111 1100 0100 1001 11 10 11 0000
1100 0111 0010 0001 00 00 01 0000
1110 0100 1111 0110 10 11 01 0000
0000 0000 1111 0001 00 01 10 0000
1011 1001 1000 1100 11 00 01 1000
0100 0001 0010 0001 01 00 10 1000
0011 0101 1010 0001 11 11 00 0000
0111 0001 0010 0011 01 01 11 1110
0001 1001 0101 0011 00 01 01 1000
0110 0111 1110 1001 11 10 10 0000
1001 1000 1111 0110 11 11 10 0000
1101 0101 0101 1110 00 11 00 0000
0001 1010 0110 1100 10 00 01 0100
1000 0010 1000 1101 01 00 10 0000
1100 1110 1101 0000 00 01 10 1100
1000 0111 1111 0010 10 01 10 1111
1000 0001 0000 1100 01 00 00 0000
1111 0001 1010 0001 10 11 00 0000
1000 1001 1010 1101 11 10 00 0000
0101 0101 1110 1111 11 00 00 0000
1010 1100 0110 1000 11 10 01 1110
0000 0100 0111 0010 01 01 11 0000
0110 1011 0110 0001 10 01 10 1111
1000 0011 1111 0111 11 00 00 0000
0001 0000 1111 1001 11 10 01 1111
1101 1111 0001 0011 10 10 01 0011
0101 0010 1001 1100 01 11 10 0100
1111 1010 0111 1101 11 11 10 0000
0101 0100 1000 1111 00 00 01 1000
0001 0101 1110 0011 10 10 10 0101
1000 0000 1000 0001 01 00 10 1000
0011 0110 0100 1011 00 11 10 0010
0001 1010 0001 0111 00 11 00 0000
0000 0000 0000 1000 01 11 10 0000
1001 1101 0001 1001 00 00 00 0000
0000 1110 0110 0101 11 00 01 0100
1010 0000 1101 0000 01 11 11 1010
1000 1110 1111 1011 11 00 00 0000
0111 1001 1110 1100 00 00 10 0001
1001 1000 0101 1010 11 11 11 0000
0001 0110 1011 0100 00 00 11 0000
0100 0111 1000 1011 00 11 00 0000
1010 0000 0110 1001 01 10 10 1010
1010 0100 1001 0111 00 00 01 0001
0110 1000 0110 1010 00 00 00 0000
0111 1010 1110 1000 00 10 01 1110
0111 0110 1011 0110 10 00 10 0111
1111 1111 0011 1010 11 00 11 0000
0101 0111 0011 1010 11 11 11 0000
1011 1110 0010 0010 00 01 01 1000
1101 0000 0010 0001 00 01 01 0100
1010 1110 0000 0011 10 01 10 1110
1111 0001 1011 0011 00 00 10 0001
0000 0000 0000 0011 10 01 00 0000
0011 1010 1010 0101 00 00 00 0000
0101 1100 0001 0011 10 01 00 0000
0111 1010 1101 0100 11 10 10 0000
0000 0100 0100 0001 10 10 01 0101
1110 0000 1100 0011 00 11 10 0000
1111 0110 0011 1110 11 10 01 1111
1011 0111 1111 0100 00 01 00 0000
1011 1001 0011 0000 10 10 00 0000
1110 0011 0011 1101 01 10 00 0000
1000 1001 1010 1110 11 10 10 0000
1100 1100 0100 0010 11 01 00 0000
1011 0010 1101 0001 11 10 00 0000
1010 0011 0010 0010 00 10 01 0010
1010 0000 0101 0010 01 00 00 0000
0100 1001 0011 0000 11 01 00 0000
0000 1100 1100 0011 00 00 11 0000
0000 0010 1110 0100 01 00 01 0100
1110 1110 1001 1001 00 10 11 1110
0101 0001 1100 1100 10 10 00 0000
0110 0110 0001 0011 11 01 10 0000
1111 1011 1101 1110 10 00 11 1111
0100 0001 1111 0001 01 01 01 1110
0101 0000 0111 0001 10 01 10 0101
1111 1111 1011 1111 10 00 10 1111
0000 1101 0111 0011 11 10 00 0000
0100 1101 0011 1011 10 11 10 1101
0110 1000 0011 0111 00 11 10 0000
0010 1101 1110 0110 11 10 10 0000
0010 0010 0010 1101 11 11 01 0000
0010 1001 1000 1010 00 00 00 0000
0000 0010 0000 1001 10 11 00 0000
0001 0010 1110 1010 01 00 10 0100
0111 0001 0001 0110 01 00 10 1110
0001 0001 1000 0001 00 01 01 0000
0000 0111 1000 1101 10 00 10 0111
0001 0011 0011 0110 01 00 01 0010
1111 0000 1001 1000 00 11 00 0000
0110 0111 1010 0111 00 10 11 0110
0001 0000 0101 1010 01 10 01 1111
0101 0100 0000 0001 10 10 10 0101
1000 1010 0110 0010 00 01 01 1000
1000 1110 0100 0100 10 01 10 1110
0001 1100 1001 1001 00 10 00 0000
1011 0001 0111 0100 01 11 00 0000
0111 1100 0000 1111 00 11 00 0000
1100 0000 1000 1111 01 11 00 0000
1000 0010 0100 0111 01 11 11 0000
1111 0001 1111 1001 01 11 00 0000
1011 0001 1110 1101 00 11 00 0000
1100 0000 0011 1100 10 11 10 1100
1110 0011 0101 0100 10 10 10 1111
1111 0000 0110 1011 00 10 00 0000
1110 0001 1111 1000 11 11 10 0111
0101 0001 1000 1111 01 10 10 1010
0000 0100 0001 0000 10 10 10 0100
0100 0000 0011 0110 00 10 01 0111
1011 0001 1000 0101 01 00 10 0110
0100 0110 1100 0011 11 10 11 0000
0101 1111 0101 0010 00 01 00 0000
0110 1000 1000 0111 10 11 11 1110
1111 1100 0111 0110 11 10 11 0000
0001 0111 1010 0010 00 01 00 0000
1100 1101 0110 0010 00 01 00 0000
0111 0000 0101 1010 10 10 01 1111
1000 0001 0010 0010 01 01 00 0000
1110 0110 1000 0010 10 00 00 0000
0110 1000 0001 0100 11 11 01 0000
1010 1001 0101 1101 10 11 11 1011
0001 0001 1110 0101 10 11 10 0001
1101 0000 0001 0001 01 10 01 0001
1111 0010 0010 0000 01 01 00 0000
0110 0010 1011 1011 11 10 01 1011
0001 0001 0100 0000 00 01 11 0001
0100 0011 1011 0011 01 01 01 1000
0110 1111 0100 1010 10 10 11 1111
0001 1011 0101 1100 11 11 11 0000
1100 1110 0111 0100 11 11 01 0000
0000 0100 1011 1111 01 10 01 1111
0111 0011 0011 0001 00 01 10 0011
1111 0100 1000 0011 01 10 00 0000
1000 0011 1000 0011 01 01 01 0000
1101 0000 1110 0001 01 01 00 0000
0111 0010 0101 0011 01 01 00 0000
1010 0011 1100 1000 01 11 01 0000
1011 0110 0101 0101 10 10 11 1111
1101 1111 0101 0100 11 01 00 0000
0011 0011 0000 1011 00 10 10 0011
0111 1000 0110 1011 00 00 00 0000
1110 1100 1111 0101 00 10 10 1100
0000 0010 0110 1110 01 11 01 0000
1100 1100 1110 0110 10 11 01 0000
1011 0010 1010 1110 01 00 00 0000
1001 1001 1000 1010 11 10 00 0000
0010 0000 1100 0101 11 10 01 1101
0110 0001 0101 0000 01 11 10 1100
1000 0000 1110 1110 11 10 00 0000
0111 0011 0111 0010 01 11 10 1000
1011 0110 1011 1000 11 10 10 0000
1111 1100 1000 0010 10 01 00 0000
